NOME,MORADA,CODIGO POSTAL,EMAIL,NIF,CONTACTO
Natã Moreira Oliveira Castro Costa,Alameda do Prof. Ruy Luís Gomes Nº744,8722-275,Natã.Costa@isec.pt,752080590,911756840
Gabriela Cardoso Ribeiro Cunha Garcia,Beco de S. Marçal Nº971,1624-832,Gabriela.Garcia@outlook.pt,766342892,938493671
Robert Cardoso Andrade Macedo Baptista,Bairro de São João de Deus Nº430,8135-899,Robert.Baptista@outlook.pt,526209224,921642211
Daisy Loureiro Ferreira Matias,Avenida 25 de Abril Nº234,4625-444,Daisy.Matias@outlook.pt,698856613,929617701
Jason Neto,Beco de Bonjóia Nº641,9642-191,Jason.Neto@outlook.pt,433658383,968982911
Michel Freitas Mendes Gaspar,Travessa da Amorosa Nº707,6147-460,Michel.Gaspar@isec.pt,490271920,967755399
Jessé Nélson Magalhães Antunes,Beco do Campo Nº92,1625-945,Jessé.Antunes@outlook.pt,522689753,935967493
Marcelino Guilherme Lourenço Correia Martins,Beco do Pedregulho Nº95,7991-897,Marcelino.Martins@isec.pt,643683999,926152279
Damian Castro Brito Leal,Beco do Campo Nº329,4293-365,Damian.Leal@isec.pt,756156908,914981794
Marlon Pinho Mota Vicente,Avenida dos Aliados Nº884,2734-648,Marlon.Vicente@hotmail.com,221802825,935022088
Carina Nicoleta Figueiredo Fernandes Teixeira Borges,Bairro de Casas Económicas de Marechal Gomes da Costa Nº54,8739-917,Carina.Borges@mundo.pt,435735230,916108706
Jóni Baptista Gomes,Alameda de Basílio Teles Nº836,8262-924,Jóni.Gomes@isec.pt,768000876,923437534
Paloma Vieira Valente,Beco do Belo Nº66,9911-152,Paloma.Valente@outlook.com,482690513,938469328
Jerson Pablo Carneiro Lima Nogueira Lourenço,Avenida de Gustavo Eiffel Nº954,1872-535,Jerson.Lourenço@outlook.pt,453095625,916549985
Frederica Anastasia Barros Freitas Campos Leite,Bairro do Leal Nº599,6144-533,Frederica.Leite@trabalho.pt,768575262,914241274
Rayssa Silva,Bairro de Pio XII Nº454,5218-268,Rayssa.Silva@isec.pt,271850118,917164594
Carminho Milene Paiva Castro Barbosa Neto,Bairro Herculanoo Nº912,4134-841,Carminho.Neto@hotmail.com,775506845,968290419
Dilan Moisés Simões Ramos,Beco do Arrabalde Nº959,7711-958,Dilan.Ramos@outlook.com,287613270,937816208
Nícolas Reis,Bairro do Dr. Nuno Pinheiro Torres Nº837,2926-863,Nícolas.Reis@gmail.com,665606792,930027548
Kyara Fatumata Silva Neves Baptista Fonseca,Avenida de Nun'Álvares Pereira Nº460,3678-041,Kyara.Fonseca@trabalho.pt,466186907,934372796
